date,hour,day_of_week,day_name,is_weekend,is_rush_hour,route_name,distance_km,normal_duration_min,current_duration_min,delay_min,traffic_level,traffic_label
2026-01-11,7,6,Sunday,True,False,Oshodi Junction,8.5,15,26.3,11.3,2,Moderate
2026-01-11,7,6,Sunday,True,False,Obalende-CMS,6.2,12,8.4,-3.6,0,None
2026-01-11,7,6,Sunday,True,False,Otedola Bridge,9.0,16,26.2,10.2,2,Moderate
2026-01-11,7,6,Sunday,True,False,Ajah,10.5,20,68.7,48.7,4,Severe
2026-01-11,7,6,Sunday,True,False,Iyana Iba,11.0,19,13.3,-5.7,0,None
2026-01-11,8,6,Sunday,True,False,Third Mainland Bridge,11.8,18,15.4,-2.6,0,None
2026-01-11,8,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,17.5,-7.5,0,None
2026-01-11,8,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,33.5,11.5,2,Moderate
2026-01-11,8,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,25.0,-5.0,0,None
2026-01-11,8,6,Sunday,True,False,Ikorodu Road,14.0,24,18.2,-5.8,0,None
2026-01-11,8,6,Sunday,True,False,Oshodi Junction,8.5,15,18.7,3.7,1,Light
2026-01-11,8,6,Sunday,True,False,Obalende-CMS,6.2,12,14.5,2.5,0,None
2026-01-11,8,6,Sunday,True,False,Otedola Bridge,9.0,16,27.4,11.4,2,Moderate
2026-01-11,8,6,Sunday,True,False,Ajah,10.5,20,16.3,-3.7,0,None
2026-01-11,8,6,Sunday,True,False,Iyana Iba,11.0,19,17.4,-1.6,0,None
2026-01-11,9,6,Sunday,True,False,Third Mainland Bridge,11.8,18,16.2,-1.8,0,None
2026-01-11,9,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,23.2,-1.8,0,None
2026-01-11,9,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,26.0,4.0,1,Light
2026-01-11,9,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,26.6,-3.4,0,None
2026-01-11,9,6,Sunday,True,False,Ikorodu Road,14.0,24,17.8,-6.2,0,None
2026-01-11,9,6,Sunday,True,False,Oshodi Junction,8.5,15,18.7,3.7,2,Moderate
2026-01-11,9,6,Sunday,True,False,Obalende-CMS,6.2,12,13.9,1.9,0,None
2026-01-11,9,6,Sunday,True,False,Otedola Bridge,9.0,16,25.0,9.0,2,Moderate
2026-01-11,9,6,Sunday,True,False,Ajah,10.5,20,19.5,-0.5,0,None
2026-01-11,9,6,Sunday,True,False,Iyana Iba,11.0,19,13.3,-5.7,0,None
2026-01-11,10,6,Sunday,True,False,Third Mainland Bridge,11.8,18,22.8,4.8,1,Light
2026-01-11,10,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,26.8,1.8,1,Light
2026-01-11,10,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,23.0,1.0,1,Light
2026-01-11,10,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,25.7,-4.3,1,Light
2026-01-11,10,6,Sunday,True,False,Ikorodu Road,14.0,24,25.5,1.5,1,Light
2026-01-11,10,6,Sunday,True,False,Oshodi Junction,8.5,15,13.0,-2.0,1,Light
2026-01-11,10,6,Sunday,True,False,Obalende-CMS,6.2,12,10.6,-1.4,1,Light
2026-01-11,10,6,Sunday,True,False,Otedola Bridge,9.0,16,21.5,5.5,2,Moderate
2026-01-11,10,6,Sunday,True,False,Ajah,10.5,20,69.1,49.1,4,Severe
2026-01-11,10,6,Sunday,True,False,Iyana Iba,11.0,19,32.6,13.6,2,Moderate
2026-01-11,11,6,Sunday,True,False,Third Mainland Bridge,11.8,18,16.7,-1.3,1,Light
2026-01-11,11,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,22.6,-2.4,1,Light
2026-01-11,11,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,30.0,8.0,2,Moderate
2026-01-11,11,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,21.0,-9.0,0,None
2026-01-11,11,6,Sunday,True,False,Ikorodu Road,14.0,24,24.9,0.9,1,Light
2026-01-11,11,6,Sunday,True,False,Oshodi Junction,8.5,15,24.5,9.5,2,Moderate
2026-01-11,11,6,Sunday,True,False,Obalende-CMS,6.2,12,10.4,-1.6,1,Light
2026-01-11,11,6,Sunday,True,False,Otedola Bridge,9.0,16,26.2,10.2,2,Moderate
2026-01-11,11,6,Sunday,True,False,Ajah,10.5,20,67.4,47.4,4,Severe
2026-01-11,11,6,Sunday,True,False,Iyana Iba,11.0,19,19.5,0.5,1,Light
2026-01-11,12,6,Sunday,True,False,Third Mainland Bridge,11.8,18,20.3,2.3,1,Light
2026-01-11,12,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,28.1,3.1,1,Light
2026-01-11,12,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,59.9,37.9,3,Heavy
2026-01-11,12,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,29.4,-0.6,1,Light
2026-01-11,12,6,Sunday,True,False,Ikorodu Road,14.0,24,27.8,3.8,1,Light
2026-01-11,12,6,Sunday,True,False,Oshodi Junction,8.5,15,25.9,10.9,2,Moderate
2026-01-11,12,6,Sunday,True,False,Obalende-CMS,6.2,12,10.0,-2.0,1,Light
2026-01-11,12,6,Sunday,True,False,Otedola Bridge,9.0,16,12.6,-3.4,1,Light
2026-01-11,12,6,Sunday,True,False,Ajah,10.5,20,72.7,52.7,4,Severe
2026-01-11,12,6,Sunday,True,False,Iyana Iba,11.0,19,23.8,4.8,1,Light
2026-01-11,13,6,Sunday,True,False,Third Mainland Bridge,11.8,18,18.4,0.4,1,Light
2026-01-11,13,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,25.5,0.5,1,Light
2026-01-11,13,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,33.4,11.4,2,Moderate
2026-01-11,13,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,25.9,-4.1,1,Light
2026-01-11,13,6,Sunday,True,False,Ikorodu Road,14.0,24,18.7,-5.3,0,None
2026-01-11,13,6,Sunday,True,False,Oshodi Junction,8.5,15,36.7,21.7,3,Heavy
2026-01-11,13,6,Sunday,True,False,Obalende-CMS,6.2,12,8.9,-3.1,1,Light
2026-01-11,13,6,Sunday,True,False,Otedola Bridge,9.0,16,21.9,5.9,2,Moderate
2026-01-11,13,6,Sunday,True,False,Ajah,10.5,20,20.4,0.4,1,Light
2026-01-11,13,6,Sunday,True,False,Iyana Iba,11.0,19,28.8,9.8,2,Moderate
2026-01-11,14,6,Sunday,True,False,Third Mainland Bridge,11.8,18,62.9,44.9,4,Severe
2026-01-11,14,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,41.4,16.4,2,Moderate
2026-01-11,14,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,37.3,15.3,2,Moderate
2026-01-11,14,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,31.3,1.3,1,Light
2026-01-11,14,6,Sunday,True,False,Ikorodu Road,14.0,24,21.9,-2.1,1,Light
2026-01-11,14,6,Sunday,True,False,Oshodi Junction,8.5,15,18.1,3.1,2,Moderate
2026-01-11,14,6,Sunday,True,False,Obalende-CMS,6.2,12,15.4,3.4,1,Light
2026-01-11,14,6,Sunday,True,False,Otedola Bridge,9.0,16,38.8,22.8,3,Heavy
2026-01-11,14,6,Sunday,True,False,Ajah,10.5,20,14.5,-5.5,0,None
2026-01-11,14,6,Sunday,True,False,Iyana Iba,11.0,19,14.8,-4.2,1,Light
2026-01-11,15,6,Sunday,True,False,Third Mainland Bridge,11.8,18,16.3,-1.7,1,Light
2026-01-11,15,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,24.6,-0.4,1,Light
2026-01-11,15,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,29.0,7.0,2,Moderate
2026-01-11,15,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,28.1,-1.9,0,None
2026-01-11,15,6,Sunday,True,False,Ikorodu Road,14.0,24,32.0,8.0,2,Moderate
2026-01-11,15,6,Sunday,True,False,Oshodi Junction,8.5,15,10.5,-4.5,1,Light
2026-01-11,15,6,Sunday,True,False,Obalende-CMS,6.2,12,10.1,-1.9,1,Light
2026-01-11,15,6,Sunday,True,False,Otedola Bridge,9.0,16,21.5,5.5,2,Moderate
2026-01-11,15,6,Sunday,True,False,Ajah,10.5,20,21.1,1.1,1,Light
2026-01-11,15,6,Sunday,True,False,Iyana Iba,11.0,19,23.0,4.0,1,Light
2026-01-11,16,6,Sunday,True,False,Third Mainland Bridge,11.8,18,19.8,1.8,1,Light
2026-01-11,16,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,23.5,-1.5,1,Light
2026-01-11,16,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,30.4,8.4,2,Moderate
2026-01-11,16,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,28.0,-2.0,0,None
2026-01-11,16,6,Sunday,True,False,Ikorodu Road,14.0,24,31.7,7.7,2,Moderate
2026-01-11,16,6,Sunday,True,False,Oshodi Junction,8.5,15,19.1,4.1,2,Moderate
2026-01-11,16,6,Sunday,True,False,Obalende-CMS,6.2,12,8.6,-3.4,1,Light
2026-01-11,16,6,Sunday,True,False,Otedola Bridge,9.0,16,23.1,7.1,2,Moderate
2026-01-11,16,6,Sunday,True,False,Ajah,10.5,20,21.8,1.8,1,Light
2026-01-11,16,6,Sunday,True,False,Iyana Iba,11.0,19,27.3,8.3,2,Moderate
2026-01-11,17,6,Sunday,True,False,Third Mainland Bridge,11.8,18,28.4,10.4,2,Moderate
2026-01-11,17,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,25.8,0.8,1,Light
2026-01-11,17,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,33.0,11.0,2,Moderate
2026-01-11,17,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,29.0,-1.0,1,Light
2026-01-11,17,6,Sunday,True,False,Ikorodu Road,14.0,24,26.2,2.2,1,Light
2026-01-11,17,6,Sunday,True,False,Oshodi Junction,8.5,15,24.5,9.5,2,Moderate
2026-01-11,17,6,Sunday,True,False,Obalende-CMS,6.2,12,14.0,2.0,2,Moderate
2026-01-11,17,6,Sunday,True,False,Otedola Bridge,9.0,16,28.0,12.0,2,Moderate
2026-01-11,17,6,Sunday,True,False,Ajah,10.5,20,27.7,7.7,2,Moderate
2026-01-11,17,6,Sunday,True,False,Iyana Iba,11.0,19,20.1,1.1,1,Light
2026-01-11,18,6,Sunday,True,False,Third Mainland Bridge,11.8,18,15.8,-2.2,1,Light
2026-01-11,18,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,21.4,-3.6,0,None
2026-01-11,18,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,30.7,8.7,2,Moderate
2026-01-11,18,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,48.9,18.9,2,Moderate
2026-01-11,18,6,Sunday,True,False,Ikorodu Road,14.0,24,20.5,-3.5,0,None
2026-01-11,18,6,Sunday,True,False,Oshodi Junction,8.5,15,32.8,17.8,3,Heavy
2026-01-11,18,6,Sunday,True,False,Obalende-CMS,6.2,12,16.5,4.5,2,Moderate
2026-01-11,18,6,Sunday,True,False,Otedola Bridge,9.0,16,20.6,4.6,2,Moderate
2026-01-11,18,6,Sunday,True,False,Ajah,10.5,20,22.0,2.0,1,Light
2026-01-11,18,6,Sunday,True,False,Iyana Iba,11.0,19,14.1,-4.9,1,Light
2026-01-11,19,6,Sunday,True,False,Third Mainland Bridge,11.8,18,22.9,4.9,1,Light
2026-01-11,19,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,27.1,2.1,1,Light
2026-01-11,19,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,28.9,6.9,2,Moderate
2026-01-11,19,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,47.7,17.7,2,Moderate
2026-01-11,19,6,Sunday,True,False,Ikorodu Road,14.0,24,37.5,13.5,2,Moderate
2026-01-11,19,6,Sunday,True,False,Oshodi Junction,8.5,15,14.6,-0.4,1,Light
2026-01-11,19,6,Sunday,True,False,Obalende-CMS,6.2,12,12.6,0.6,1,Light
2026-01-11,19,6,Sunday,True,False,Otedola Bridge,9.0,16,26.8,10.8,2,Moderate
2026-01-11,19,6,Sunday,True,False,Ajah,10.5,20,18.2,-1.8,1,Light
2026-01-11,19,6,Sunday,True,False,Iyana Iba,11.0,19,13.3,-5.7,0,None
2026-01-11,20,6,Sunday,True,False,Third Mainland Bridge,11.8,18,21.6,3.6,1,Light
2026-01-11,20,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,79.8,54.8,4,Severe
2026-01-11,20,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,29.4,7.4,2,Moderate
2026-01-11,20,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,25.3,-4.7,0,None
2026-01-11,20,6,Sunday,True,False,Ikorodu Road,14.0,24,22.3,-1.7,1,Light
2026-01-11,20,6,Sunday,True,False,Oshodi Junction,8.5,15,25.3,10.3,2,Moderate
2026-01-11,20,6,Sunday,True,False,Obalende-CMS,6.2,12,15.5,3.5,1,Light
2026-01-11,20,6,Sunday,True,False,Otedola Bridge,9.0,16,23.4,7.4,2,Moderate
2026-01-11,20,6,Sunday,True,False,Ajah,10.5,20,20.4,0.4,0,None
2026-01-11,20,6,Sunday,True,False,Iyana Iba,11.0,19,58.3,39.3,4,Severe
2026-01-11,21,6,Sunday,True,False,Third Mainland Bridge,11.8,18,13.8,-4.2,0,None
2026-01-11,21,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,17.8,-7.2,0,None
2026-01-11,21,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,17.0,-5.0,1,Light
2026-01-11,21,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,21.0,-9.0,0,None
2026-01-11,21,6,Sunday,True,False,Ikorodu Road,14.0,24,16.8,-7.2,0,None
2026-01-11,21,6,Sunday,True,False,Oshodi Junction,8.5,15,18.6,3.6,1,Light
2026-01-11,21,6,Sunday,True,False,Obalende-CMS,6.2,12,8.5,-3.5,0,None
2026-01-11,21,6,Sunday,True,False,Otedola Bridge,9.0,16,12.8,-3.2,1,Light
2026-01-11,21,6,Sunday,True,False,Ajah,10.5,20,19.5,-0.5,0,None
2026-01-11,21,6,Sunday,True,False,Iyana Iba,11.0,19,18.1,-0.9,1,Light
2026-01-11,22,6,Sunday,True,False,Third Mainland Bridge,11.8,18,15.4,-2.6,0,None
2026-01-11,22,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,21.1,-3.9,0,None
2026-01-11,22,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,20.1,-1.9,0,None
2026-01-11,22,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,28.2,-1.8,0,None
2026-01-11,22,6,Sunday,True,False,Ikorodu Road,14.0,24,18.6,-5.4,0,None
2026-01-11,22,6,Sunday,True,False,Oshodi Junction,8.5,15,15.3,0.3,1,Light
2026-01-11,22,6,Sunday,True,False,Obalende-CMS,6.2,12,8.4,-3.6,0,None
2026-01-11,22,6,Sunday,True,False,Otedola Bridge,9.0,16,18.3,2.3,1,Light
2026-01-11,22,6,Sunday,True,False,Ajah,10.5,20,14.6,-5.4,0,None
2026-01-11,22,6,Sunday,True,False,Iyana Iba,11.0,19,13.5,-5.5,0,None
2026-01-11,23,6,Sunday,True,False,Third Mainland Bridge,11.8,18,12.6,-5.4,0,None
2026-01-11,23,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,22.3,-2.7,0,None
2026-01-11,23,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,20.4,-1.6,1,Light
2026-01-11,23,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,21.2,-8.8,0,None
2026-01-11,23,6,Sunday,True,False,Ikorodu Road,14.0,24,21.4,-2.6,0,None
2026-01-11,23,6,Sunday,True,False,Oshodi Junction,8.5,15,10.5,-4.5,1,Light
2026-01-11,23,6,Sunday,True,False,Obalende-CMS,6.2,12,8.4,-3.6,0,None
2026-01-11,23,6,Sunday,True,False,Otedola Bridge,9.0,16,12.7,-3.3,1,Light
2026-01-11,23,6,Sunday,True,False,Ajah,10.5,20,21.0,1.0,0,None
2026-01-11,23,6,Sunday,True,False,Iyana Iba,11.0,19,13.3,-5.7,0,None
2026-01-12,0,0,Monday,False,False,Third Mainland Bridge,11.8,18,22.7,4.7,1,Light
2026-01-12,0,0,Monday,False,False,Lekki-Epe Expressway,15.2,25,29.3,4.3,1,Light
2026-01-12,0,0,Monday,False,False,Apapa-Oshodi Expressway,12.5,22,18.1,-3.9,1,Light
2026-01-12,0,0,Monday,False,False,Lagos-Ibadan Expressway,18.0,30,26.4,-3.6,1,Light
2026-01-12,0,0,Monday,False,False,Ikorodu Road,14.0,24,19.9,-4.1,0,None
2026-01-12,0,0,Monday,False,False,Oshodi Junction,8.5,15,10.5,-4.5,1,Light
2026-01-12,0,0,Monday,False,False,Obalende-CMS,6.2,12,13.9,1.9,0,None
2026-01-12,0,0,Monday,False,False,Otedola Bridge,9.0,16,13.9,-2.1,1,Light
2026-01-12,0,0,Monday,False,False,Ajah,10.5,20,16.2,-3.8,0,None
2026-01-12,0,0,Monday,False,False,Iyana Iba,11.0,19,14.2,-4.8,0,None
2026-01-12,1,0,Monday,False,False,Third Mainland Bridge,11.8,18,12.6,-5.4,0,None
2026-01-12,1,0,Monday,False,False,Lekki-Epe Expressway,15.2,25,17.5,-7.5,0,None
2026-01-12,1,0,Monday,False,False,Apapa-Oshodi Expressway,12.5,22,19.6,-2.4,1,Light
2026-01-12,1,0,Monday,False,False,Lagos-Ibadan Expressway,18.0,30,21.5,-8.5,0,None
2026-01-12,1,0,Monday,False,False,Ikorodu Road,14.0,24,16.8,-7.2,0,None
2026-01-12,1,0,Monday,False,False,Oshodi Junction,8.5,15,11.3,-3.7,1,Light
2026-01-12,1,0,Monday,False,False,Obalende-CMS,6.2,12,12.5,0.5,1,Light
2026-01-12,1,0,Monday,False,False,Otedola Bridge,9.0,16,16.3,0.3,1,Light
2026-01-12,1,0,Monday,False,False,Ajah,10.5,20,14.0,-6.0,0,None
2026-01-12,1,0,Monday,False,False,Iyana Iba,11.0,19,55.9,36.9,4,Severe
2026-01-12,2,0,Monday,False,False,Third Mainland Bridge,11.8,18,15.0,-3.0,1,Light
2026-01-12,2,0,Monday,False,False,Lekki-Epe Expressway,15.2,25,75.1,50.1,4,Severe
2026-01-12,2,0,Monday,False,False,Apapa-Oshodi Expressway,12.5,22,17.1,-4.9,1,Light
2026-01-12,2,0,Monday,False,False,Lagos-Ibadan Expressway,18.0,30,28.6,-1.4,0,None
2026-01-12,2,0,Monday,False,False,Ikorodu Road,14.0,24,27.5,3.5,1,Light
2026-01-12,2,0,Monday,False,False,Oshodi Junction,8.5,15,15.6,0.6,1,Light
2026-01-12,2,0,Monday,False,False,Obalende-CMS,6.2,12,16.6,4.6,1,Light
2026-01-12,2,0,Monday,False,False,Otedola Bridge,9.0,16,18.5,2.5,1,Light
2026-01-12,2,0,Monday,False,False,Ajah,10.5,20,24.0,4.0,1,Light
2026-01-12,2,0,Monday,False,False,Iyana Iba,11.0,19,17.6,-1.4,1,Light
2026-01-12,3,0,Monday,False,False,Third Mainland Bridge,11.8,18,22.6,4.6,1,Light
2026-01-12,3,0,Monday,False,False,Lekki-Epe Expressway,15.2,25,28.1,3.1,1,Light
2026-01-12,3,0,Monday,False,False,Apapa-Oshodi Expressway,12.5,22,84.7,62.7,4,Severe
2026-01-12,3,0,Monday,False,False,Lagos-Ibadan Expressway,18.0,30,79.3,49.3,4,Severe
2026-01-12,3,0,Monday,False,False,Ikorodu Road,14.0,24,27.4,3.4,1,Light
2026-01-12,3,0,Monday,False,False,Oshodi Junction,8.5,15,11.7,-3.3,1,Light
2026-01-12,3,0,Monday,False,False,Obalende-CMS,6.2,12,9.7,-2.3,0,None
2026-01-12,3,0,Monday,False,False,Otedola Bridge,9.0,16,13.9,-2.1,1,Light
